,Index,H2_line,Vhi,Jhi,Vlo,Jlo,wl_mic,wl_lab,I_Inorm,Excit_hi_K,g_u_h_nu_Aul,F(0),E(0),F(MYSO),E(MYSO)
30,3104,8-4 S(0),8.0,2.0,4.0,0.0,0.847517,8475.17A,6.154e-05,38913.587,1.685e-18,0.1151715205029089,0.0105561253376071,0.0258581723595188,0.0030166415319181
4,1524,8-3 S(1),8.0,3.0,3.0,1.0,0.6502089,6502.09A,3.453e-05,39219.492,3.389e-18,0.0455475600924165,0.0021799262259304,0.0136204151698052,0.0011622295770292
36,3315,8-4 Q(3),8.0,3.0,4.0,3.0,0.8738383,8738.38A,5.665e-05,39219.492,5.561e-18,0.0647736486178116,0.0043988106735169,0.0251178686694481,0.0020791032214348
28,2987,8-4 S(2),8.0,4.0,4.0,2.0,0.8329165,8329.17A,0.0001043,39621.684,7.239e-18,0.0691171900768594,0.0065602853497467,,
3,1490,8-3 S(5),8.0,7.0,3.0,5.0,0.6459071,6459.07A,3.841e-05,41354.898,2.435e-17,0.0412821090836441,0.0030567500869452,0.0783868143921661,0.0530871319386004
10,1954,9-4 S(5),9.0,7.0,4.0,5.0,0.7038033,7038.03A,4.273e-05,44392.118,3.724e-17,0.0384108642884473,0.0025166733965827,0.0257960186247524,0.005896604523712
20,2503,10-5 S(4),10.0,6.0,5.0,4.0,0.7724226,7724.23A,2.674e-05,46499.466,1.224e-17,0.0149919073457899,0.0003395226075369,0.007910764636905,0.0002405464563973
14,2071,11-5 O(3),11.0,1.0,5.0,3.0,0.718619,7186.19A,1.108e-06,47390.072,1.501e-19,0.0591736049991277,0.0024230472975939,0.1016296660061732,0.006950543629886
34,3213,11-6 S(3),11.0,5.0,6.0,3.0,0.8610914,8610.91A,4.351e-05,48365.246,3.102e-17,0.0782119226386487,0.005127793404186,,
26,2889,10-5 S(9),10.0,11.0,5.0,9.0,0.8206896,8206.90A,1.114e-05,49540.879,8.262e-17,0.0283914903298404,0.0016051421587236,0.0263623277519793,0.0045480399873404
2,1332,12-5 S(1),12.0,3.0,5.0,1.0,0.6261726,6261.73A,8.108e-06,49705.904,2.46e-18,0.0234446082097093,0.0019858529000063,0.012425177290341,0.0073920440022559
16,2082,13-6 S(2),13.0,4.0,6.0,2.0,0.7199272,7199.27A,1.11e-05,51283.003,1.97e-18,0.022317496349528,0.0016194733507085,0.0422663309867944,0.0040008238324683
