,Index,H2_line,Vhi,Jhi,Vlo,Jlo,wl_mic,wl_lab,I_Inorm,Excit_hi_K,g_u_h_nu_Aul,F(0),E(0),F(MYSO),E(MYSO)
50,2790,7-3 Q(3),7.0,3.0,3.0,3.0,0.8082909,8082.91A,4.715e-05,35613.272,3.301e-18,0.059422267179319,0.0022524842493982,0.0370580314140369,0.0031684191021942
14,1648,8-3 Q(1),8.0,1.0,3.0,1.0,0.6656116,6656.12A,1.414e-05,38707.583,6.853e-19,0.0302644683564493,0.0024100601617757,0.0085420666366406,0.0019057568625789
71,3244,8-4 Q(1),8.0,1.0,4.0,1.0,0.8650158,8650.16A,7.332e-05,38707.583,3.553e-18,0.1822621362927967,0.0252204779211575,0.054680122976946,0.0074338625857096
65,3104,8-4 S(0),8.0,2.0,4.0,0.0,0.847517,8475.17A,6.154e-05,38913.587,1.685e-18,0.1151715205029089,0.0105561253376071,0.0258581723595188,0.0030166415319181
74,3272,8-4 Q(2),8.0,2.0,4.0,2.0,0.8685294,8685.29A,5.162e-05,38913.587,1.414e-18,0.0965746574849863,0.0071859291499665,0.0795382938983242,0.0293062165379895
8,1524,8-3 S(1),8.0,3.0,3.0,1.0,0.6502089,6502.09A,3.453e-05,39219.492,3.389e-18,0.0455475600924165,0.0021799262259304,0.0136204151698052,0.0011622295770292
75,3315,8-4 Q(3),8.0,3.0,4.0,3.0,0.8738383,8738.38A,5.665e-05,39219.492,5.561e-18,0.0647736486178116,0.0043988106735169,0.0251178686694481,0.0020791032214348
5,1484,8-3 S(3),8.0,5.0,3.0,3.0,0.6450834,6450.83A,4.742e-05,40115.502,1.139e-17,0.0167105620929802,0.0057386094490197,,
56,2954,8-4 S(3),8.0,5.0,4.0,3.0,0.8287271,8287.27A,0.0001411,40115.502,3.388e-17,0.121723352391144,0.0217826874565232,0.4391705201172257,0.026251786010424
23,1969,9-4 S(1),9.0,3.0,4.0,1.0,0.7056685,7056.69A,4.238e-05,42462.426,5.784e-18,0.079987885499939,0.0185290291428347,0.0590812156566983,0.0104332527154946
88,3640,9-5 S(1),9.0,3.0,5.0,1.0,0.9145656,9145.66A,0.0001203,42462.426,1.642e-17,0.1243540602012225,0.0161390057437288,0.0624774840050845,0.0309233831063665
20,1944,9-4 S(2),9.0,4.0,4.0,2.0,0.7025136,7025.14A,3.718e-05,42827.236,3.704e-18,0.0300103715091686,0.0041994296664605,0.0544190565609794,0.0241450060755148
85,3591,9-5 S(2),9.0,4.0,5.0,2.0,0.9083397,9083.40A,9.591e-05,42827.236,9.554e-18,0.0616640742108643,0.0108367765488659,0.0549526442788647,0.0521352129655552
19,1936,9-4 S(4),9.0,6.0,4.0,4.0,0.701536,7015.36A,2.909e-05,43798.108,9.057e-18,0.019511536616894,0.0021417157738509,0.0272423549963444,0.0057488773863261
83,3552,9-5 S(4),9.0,6.0,5.0,4.0,0.9034878,9034.88A,6.407e-05,43798.108,1.994e-17,0.032524266987684,0.0052282804337927,0.0358624343346583,0.0193862697035135
