 6167.68  2.4E-05  | C III  6167.60, Ar II  6167.63, 
 6170.17  9.1E-06  | N II  6170.16, 
 6173.33  2.3E-05  | N II  6173.31, 
 6176.07  1.2E-05  | N II  6176.05, 
 6250.70  1.5E-05  | [Ti II]  6250.61, 
 6257.12  5.2E-05  | C II  6257.18, 
 6259.48  8.4E-05  | C II  6259.56, 
 6300.40  2.2E-02  | [O I]  6300.30, 
 6312.11  8.6E-03  | [S III]  6312.10, 
 6325.19  2.6E-05  | N III  6325.10, [Fe II]  6325.50, 
 6332.89  3.8E-05  | Ar II  6332.85, O I]  6332.88, 
 6334.48  2.6E-05  | Ne I  6334.43, 
 6347.19  5.1E-04  | Si II  6347.11, Si II  6347.17, 
 6363.89  7.6E-03  | [O I]  6363.78, 
 6371.42  4.3E-04  | Si II  6371.37, 
 6379.65  8.6E-06  | O II  6379.58, 
 6382.99  1.9E-05  | Ne I  6382.99, 
 6392.50  9.3E-06  | C II  6392.00, [Fe II]  6392.70, 
 6402.27  1.1E-04  | Ne I  6402.25, 
 6454.39  1.0E-05  | O I  6454.44, 
 6456.00  1.2E-05  | O I  6455.98, 
 6461.85  5.8E-04  | N II  6461.71, 
 6527.26  2.8E-04  | [N II]  6527.24, 
 6548.10  5.4E-01  | [N II]  6548.04, 
