 EMILI Output File
 ------------------------------------
 Input Line List: zone-0-emi.in
 Input Matched List: zone-0-emi.match
 Results List: zone-0-emi.out
 Short Results List: zone-0-emi.dat
 Abundance Table: abun.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.987000048    
 ix 3:    1.00000005E-03
 ix 4:    1.00000005E-03
 ix 5:    1.00000005E-03

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       50.00
 Ni                         I     - XXIX        50.00
 Si                         I     - XV          50.00
 Ca                         I     - XXI         50.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    165.700958    
 irvcor 2:    170.145630    
 irvcor 3:    164.595108    
 irvcor 4:    161.649811    
 irvcor 5:    161.649811    

   4756.03 |    4758.973$ Si I       939617289      8  5.2E-07-185.4 0/0 8 
   4756.12 | >  4760.803* O  I       537004044      6  5.0E-04-295.1 0/0 0<

Observed Line:  4817.19  1.5E-04  S/N:     1.96 FWHM:  25.8
+  4814.55 |    4814.336$ Ne I       671263757      8  6.0E-05  13.3 0/0 3A
+  4814.55 |    4814.400  N  I       470025236    261  6.0E-05   9.3 2/0 5 
+  4814.55 |    4814.430  O  I       537256124      6  4.3E-04   7.4 1/0 3A
+  4814.55 |    4814.430  O  I       537257148      6  4.3E-04   7.4 1/0 3A
+  4814.55 |    4814.520 [Cr IV]    1613773827     54  1.7E-05   1.8 4/0 6 
+  4814.55 |    4814.524  S  II     1075014749    263  2.6E-05   1.5 1/0 5 
+  4814.60 |    4814.610$ O  III     539108457      6  5.6E-06  -0.9 0/0 4D
+  4814.46 |    4814.534 [Fe II]    1745911814     40  3.7E-03  -4.7 3/0 4D
   4814.55 |    4815.303  Cr II     1611890806      7  9.0E-06 -47.0 2/0 8 
   4814.55 |    4815.494  Mn II     1678876730      7  1.7E-05 -58.9 */0 8 
   4814.55 |    4815.552  S  II     1074837519    263  2.8E-05 -62.5 1/0 7 
   4814.55 |    4815.760  O  I       537256125      6  4.3E-04 -75.5 2/0 7 
   4814.55 |    4815.760  O  I       537257149      6  4.3E-04 -75.5 2/0 7 
   4814.46 |    4816.343 [Co II]    1813015558     55  3.4E-04-117.4 5/0 9 
   4814.55 |    4816.520  O  I       537256126      6  4.3E-04-122.8 2/0 8 
   4814.55 |    4816.520  O  I       537257150      6  4.3E-04-122.8 2/0 8 
   4814.55 |    4816.825  Fe II     1746267350      7  4.2E-06-141.8 4/0 * 
   4814.55 |    4816.889$ Ne I       671259661      7  6.0E-05-145.7 0/0 7 
   4814.46 |    4816.909 [Co II]    1813025801     55  2.0E-04-152.6 1/0 8 
   4814.55 |    4817.339  Cr II     1611866216      7  1.6E-05-173.8 7/0 * 
   4814.46 |    4817.374  C  I       402701320    263  1.9E-04-181.5 2/0 9 
   4814.55 |    4817.636$ Ne I       671223817      8  6.0E-05-192.3 0/0 7 
   4814.55 | >  4818.920  N  I       469992465    262  6.1E-05-272.1 4/0 0<

Observed Line:  4863.93  1.0E+00  S/N:    26.88 FWHM:  57.9
+  4861.17 |    4861.325  H  I        67129350      7  1.0E+00  -9.4 0/0 2A
   4861.26 | >  4863.570* O  I       536981516      6  5.1E-04-142.3 0/0 0<

Observed Line:  4883.39  5.2E-04  S/N:    10.30 FWHM:  38.5
   4880.71 |    4880.170  Al II      873573407    262  4.9E-06  33.3 2/0 9 
   4880.71 |    4880.258  Fe II     1746172075      8  7.8E-06  27.9 7/0 7 
+  4880.62 |    4880.524  Fe I      1745229911      8  7.1E-07   6.0 4/0 6C
+  4880.76 |    4880.670  N  III     471899161    262  7.2E-07   5.5 2/0 6C
+  4880.71 |    4880.630  Mn II     1678994535      6  3.0E-06   5.1 4/0 6C
+  4880.71 |    4880.756$ Ar I      1208199175      7  1.9E-06  -2.7 0/0 4A
+  4880.71 |    4880.820$ Ar I      1208285194      6  1.9E-06  -6.6 0/0 4A
+  4880.76 |    4881.000  O  II      538110022    262  2.8E-06 -14.7 6/0 7 
+  4880.71 |    4880.968  Cr II     1611961515      7  4.1E-06 -15.7 7/0 7 
   4880.71 |    4881.090 [Mn III]   1679863842     54  5.2E-06 -23.2 4/0 7 
   4880.71 |    4881.430$ Ar I      1208359948      6  1.9E-06 -44.1 0/0 8 
   4880.71 |    4881.454  Cr II     1612123385      7  1.5E-06 -45.6 3/0 * 
