 7381.78  3.8E-03  | [Ni II]  7377.83, 
 7415.60  1.6E-03  | [Ni II]  7411.61, 
 7427.80  9.1E-04  | N I  7423.64, 
 7446.35  2.8E-03  | N I  7442.30, 
 7456.44  8.7E-04  | [Fe II]  7452.54, 
 7466.69  3.1E-04  | Fe II  7462.41, 
 7472.35  4.4E-03  | N I  7468.31, 
 7492.64  1.4E-04  | Ne I  7488.87, 
 7504.03  2.2E-04  | He I  7499.85, 
 7517.45  1.9E-03  | Fe II  7513.30, Ca I  7513.10, Ca I  7513.17, Ca I  7513.21, 
 7530.75  4.0E-04  | Cr II  7526.61, Fe II  7526.88, 
 7633.14  3.4E-03  | Si I  7629.07, 
 7641.99  4.1E-03  | [Fe II]  7637.54, 
 7667.65  1.8E-03  | O I  7663.44, 
 7725.38  9.2E-05  | Ca I  7721.12, 
 7728.31  1.0E-04  | S II  7724.14, 
 7744.18  3.9E-04  | [Fe II]  7740.14, 
 7755.27  1.3E-02  | [Ar III]  7751.10, 
 7773.07  3.0E-04  | Ca I  7768.82, S II  7769.21, 
 7786.43  6.6E-04  | O II  7782.19, 
 7794.92  8.2E-04  | Ni II  7790.76, Ar I  7790.90, Mg II  7790.98, 
 7806.59  6.9E-04  | [Cr II]  7802.62, [Fe II]  7803.91, 
 7821.16  7.1E-04  | Fe II]  7816.82, 
 7842.00  1.4E-03  | Fe II]  7838.06, 
 7852.08  5.1E-04  | [Cr II]  7847.78, 
 7867.14  3.0E-04  | Fe I  7863.07, 
 7880.81  4.2E-04  | [P II]  7875.99, Si I  7876.19, 
 7894.34  4.0E-04  | [Ni III]  7889.90, 
 7921.95  4.0E-04  | Fe II  7917.80, 
 7964.15  1.3E-03  | Mg II  7960.00, 
 8004.35  2.7E-03  | [Cr II]  8000.08, 
 8013.62  2.9E-04  | [Fe II]  8009.55, 
 8040.91  2.4E-04  | [Fe II]  8037.25, 
 8051.05  6.7E-04  | Si I  8046.80, Fe I  8046.81, 
 8074.01  1.3E-04  | [S XI]  8070.00, 
 8087.85  4.9E-04  | Fe II  8083.88, 
 8129.70  2.1E-03  | [Cr II]  8125.30, 
 8155.59  9.1E-04  | Ne I  8151.56, 
 8192.34  2.9E-03  | N I  8188.01, 
 8195.48  5.0E-04  | Na I  8191.14, 
 8204.68  1.3E-03  | Fe I  8200.20, N I  8200.36, 
 8211.77  3.5E-04  | [Fe III]  8207.40, 
 8214.81  2.6E-03  | N I  8210.72, 
 8220.74  5.0E-03  | N I  8216.34, 
 8227.60  6.6E-03  | N I  8223.13, 
 8234.03  4.0E-03  | [Cr II]  8229.67, 
 8246.95  3.4E-03  | N I  8242.39, Fe I  8242.44, Fe I  8242.66, 
 8271.82  8.5E-04  | H I  8267.94, 
 8276.57  4.4E-04  | H I  8271.93, 
 8292.06  5.9E-03  | Fe I  8287.66, Fe II  8287.84, 
 8303.55  2.6E-03  | H I  8298.83, 
 8309.38  7.1E-04  | H I  8306.11, 
 8310.50  2.1E-03  | H I  8306.11, 
 8318.90  2.9E-03  | H I  8314.26, 
 8327.73  2.7E-03  | H I  8323.42, 
 8338.49  4.8E-03  | H I  8333.78, 
 8350.14  3.1E-03  | H I  8345.55, 
 8363.38  3.6E-03  | H I  8359.00, 
 8379.09  3.8E-03  | H I  8374.48, 
 8391.70  3.2E-04  | [Fe II]  8387.23, 
 8396.86  3.6E-03  | H I  8392.40, 
 8404.06  1.1E-04  | Ar I  8399.40, Ar I  8399.52, Ni II  8399.70, Fe II  8399.77, Ni II  8399.94, Ni II  8399.99, 
 8417.90  4.0E-03  | H I  8413.32, 
 8442.50  6.6E-03  | H I  8437.95, 
 8451.02  9.3E-02  | O I  8446.48, 
 8464.06  2.8E-03  | [Cr II]  8459.32, Cr II  8459.58, 
 8471.89  5.5E-03  | H I  8467.25, 
 8480.29  3.5E-04  | Mg I  8475.60, 
 8502.67  1.6E-03  | Ca II  8498.03, [Ni III]  8499.70, 
 8507.01  5.8E-03  | H I  8502.48, 
 8522.36  2.6E-04  | He I  8518.04, 
 8527.42  6.1E-04  | Fe I  8523.04, 
 8534.10  2.8E-04  | Fe I  8529.55, Fe I  8529.62, 
 8549.86  7.2E-03  | H I  8545.38, 
 8554.96  5.0E-04  | Si I  8550.34, 
 8565.08  7.4E-04  | [Cr II]  8560.29, 
 8583.27  2.2E-03  | [Cl II]  8578.69, 
 8588.04  1.2E-04  | Fe I  8583.28, He I  8583.64, 
 8603.07  8.0E-03  | H I  8598.39, 
 8621.75  1.4E-03  | [Fe II]  8616.95, 
 8625.68  5.1E-05  | S II  8620.85, Fe II  8621.10, 
 8634.23  7.1E-04  | Fe II  8629.44, 
 8654.69  7.5E-04  | He I  8649.88, Na I  8650.24, 
 8664.37  5.8E-04  | Fe II]  8660.10, 
 8669.58  1.0E-02  | H I  8665.02, 
