 EMILI Output File
 ------------------------------------
 Input Line List: zone-IV-emi.in
 Input Matched List: zone-IV-emi.match
 Results List: zone-IV-emi.out
 Short Results List: zone-IV-emi.dat
 Abundance Table: abun_smc.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999975E-05
 ix 2:   0.500000000    
 ix 3:   0.500000000    
 ix 4:    2.00000009E-03
 ix 5:    1.99999999E-06

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       10.00
 Ni                         I     - XXIX        10.00
 Si                         I     - XV          10.00
 Ca                         I     - XXI         10.00
 Mg                         I     - XIII        10.00
 Ti                         I     - XXIII       10.00
 Al                         I     - XIV         10.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    166.845306    
 irvcor 2:    166.845306    
 irvcor 3:    173.786911    
 irvcor 4:    160.211288    
 irvcor 5:    160.211288    

   5047.89 |    5049.000  C  III     404847681    261  3.5E-04 -65.7 0/0 8 
   5047.78 |    5049.003 [Cr II]    1611726858     55  1.4E-04 -72.5 3/0 * 
   5047.78 |    5049.287 [Fe II]    1745911816     56  5.6E-03 -89.4 6/0 9 
   5047.67 |    5049.242  C  II      403853437    263  3.5E-04 -93.6 7/1 9  5043.565 -97.9
   5047.78 | >  5049.638 [Cr II]    1611670529     55  9.9E-04-110.2 2/0 0<

Observed Line:  5135.26  1.3E-04  S/N:     1.26 FWHM:  12.4
+  5132.52 |    5131.993  Fe III    1747341617    263  3.4E-06  30.7 */0 7 
+  5132.41 |    5131.900  C  I       402852879    262  5.4E-05  29.6 5/0 5C
+  5132.29 |    5131.910  N  I       469954576    262  4.3E-06  22.0 7/0 6 
+  5132.29 |    5132.145$ Ar II     1209182277      9  2.1E-06   8.3 0/0 4A
+  5132.29 |    5132.148  V  II     1544645680      7  2.8E-06   8.1 5/0 6 
+  5132.29 |    5132.270  N  I       469953552    262  4.3E-06   1.0 9/0 6 
+  5132.29 |    5132.340  N  I       469981205    262  4.3E-06  -3.1 3/0 6 
+  5132.52 |    5132.600  O  IV      540190881    261  3.3E-06  -4.8 0/0 4A
+  5132.29 |    5132.400  N  I       469948431    262  4.3E-06  -6.6 7/0 6 
+  5132.29 |    5132.490 [Co III]   1814062097     54  1.8E-05 -11.9 6/0 5C
+  5132.29 |    5132.490  N  I       469952528    262  4.3E-06 -11.9 9/0 6 
+  5132.41 |    5132.620 [Ni II]    1880112133     55  1.4E-04 -12.5 4/0 5C
+  5132.29 |    5132.669  Fe II]    1745950752     24  2.4E-05 -22.3 4/0 5C
+  5132.29 |    5132.947  C  II      403760150    263  3.5E-04 -38.6 6/0 5C
+  5132.29 |    5133.037$ Fe II     1746351360      7  5.3E-06 -43.8 0/0 5C
+  5132.29 |    5133.134  Cr II     1611919503      7  1.9E-06 -49.5 7/0 7 
+  5132.29 |    5133.282  C  II      403761175    263  3.5E-04 -58.1 4/0 5C
   5132.29 |    5133.370  Fe II     1746422041      6  5.0E-06 -63.3 8/0 8 
   5132.52 |    5133.700 [Zn V]     2017467395     53  1.9E-06 -69.0 4/0 8 
   5132.29 |    5133.667$ S  II     1074985036      7  8.9E-06 -80.6 0/0 6 
   5132.52 |    5133.900  N  III     471957579      5  1.3E-05 -80.7 0/0 6 
   5132.52 |    5133.967$ Ne II      672409668      7  4.9E-05 -84.6 0/0 5C
   5132.52 |    5134.041$ Ne II      672408644      7  4.9E-05 -89.0 0/0 5C
   5132.29 |    5133.820* Si III     941727802    263  6.8E-06 -89.6 0/0 6 
   5132.41 |    5133.960  C  I       402853903    262  5.4E-05 -90.8 4/0 7 
   5132.29 |    5133.980  O  I       537036845      6  1.6E-04 -98.9 2/0 7 
   5132.29 |    5134.385  Fe II     1746114675      8  2.6E-05-122.6 2/0 9 
   5132.52 |    5134.758$ Ne II      672491836      7  4.9E-05-130.8 0/0 7 
   5132.52 |    5134.768$ Ne II      672490812      7  4.9E-05-131.4 0/0 7 
   5132.52 |    5134.934$ Ne II      672490813      7  4.9E-05-141.1 0/0 7 
   5132.29 |    5134.857  Ar II     1209155644    265  2.1E-06-150.1 6/0 * 
   5132.29 |    5135.020 [Fe III]   1746959380     38  1.4E-03-159.7 5/0 8 
   5132.29 |    5135.420 [Co III]   1814047747     54  6.3E-04-183.0 4/0 8 
   5132.52 |    5136.106  Fe III    1747341618    263  3.4E-06-209.5 */0 * 
   5132.52 |    5136.114  Fe III    1747347772    263  3.4E-06-210.0 5/0 * 
   5132.41 |    5136.027 [V  II]    1544605704     55  1.6E-05-211.5 1/0 8 
   5132.29 |    5136.030  O  I       537035821      6  1.6E-04-218.6 2/0 8 
   5132.52 |    5136.320  O  III     539081804    262  4.0E-06-222.0 6/0 * 
   5132.29 |    5136.320  N  I       469968915    262  4.3E-06-235.6 6/0 * 
   5132.29 |    5136.321  Fe II]    1746072673     24  1.6E-06-235.6 5/0 * 
   5132.29 |    5136.500  O  I       537258176      5  1.6E-04-246.1 0/0 6 
   5132.29 |    5136.610  Fe II]    1746073699     24  1.6E-06-252.5 4/0 * 
   5132.29 |    5136.610 [Mn III]   1679852562     38  2.4E-05-252.5 5/0 9 
   5132.29 |    5136.710  N  II      471099542      6  1.3E-05-258.3 2/0 * 
   5132.29 |    5136.802  Fe II]    1745953826     24  2.3E-05-263.7 */0 9 
   5132.41 |    5137.009 [Co II]    1813013511     55  1.1E-04-268.8 7/0 9 
   5132.52 |    5137.151$ Ne II      672407620      7  4.9E-05-270.5 0/0 7 
   5132.29 |    5137.088  Cr II     1611875442      7  4.8E-06-280.4 3/0 * 
   5132.29 |    5137.257  C  II      403759126    263  3.5E-04-290.2 6/0 8 
   5132.41 |    5137.490  C  I       402852880    262  5.4E-05-296.9 5/0 9 
   5132.29 | >  5137.550 [Fe III]   1746959381     38  1.4E-03-307.3 5/0 0<

Observed Line:  5194.25  8.0E-04  S/N:     3.97 FWHM:  14.4
+  5191.24 |    5190.911$ Fe II     1746397453      7  5.2E-06  19.2 0/0 5C
+  5191.24 |    5191.300 [Cr III]   1612752926     38  5.4E-05  -3.3 5/0 5C
+  5191.24 |    5191.322$ Ne I       671204366    648  3.0E-05  -4.6 0/0 4B
+  5191.24 |    5191.587  Fe II]    1745965097     24  1.8E-05 -19.9 4/0 7 
   5191.24 |    5191.800  O  I       537197727      5  1.6E-04 -32.2 0/0 5C
   5191.24 |    5191.820 [Ar III]   1210061828     54  4.9E-03 -33.3 0/0 3A
   5191.36 |    5192.064 [Co II]    1813032980     55  2.2E-05 -40.5 4/0 9 
   5191.24 |    5191.964  N  II      471085194    263  1.3E-05 -41.7 8/0 9 
   5191.24 |    5192.060 [Co III]   1814052873     38  1.3E-04 -47.2 2/0 8 
   5191.48 |    5192.374$ Ne II      672432204      7  4.9E-05 -51.8 0/0 7 
   5191.24 |    5192.442  Fe II     1746165931      8  1.5E-05 -69.3 7/0 * 
   5191.24 |    5192.860$ Fe II     1746378002      7  5.2E-06 -93.4 0/0 8 
   5191.24 |    5192.933  Fe II     1746253015      7  8.8E-06 -97.6 8/0 * 
   5191.24 |    5193.125$ Ne I       671202318    648  3.0E-05-108.7 0/0 8 
   5191.24 |    5193.222$ Ne I       671201294    648  3.0E-05-114.3 0/0 8 
   5191.48 | >  5193.910  Fe III    1747009582    263  3.4E-05-140.5 4/0 0<

Observed Line:  5222.29  5.2E-04  S/N:     2.66 FWHM:  96.4
+  5219.39 |    5218.958 [Cr II]    1611694082     55  3.2E-04  24.7 */0 6 
+  5219.27 |    5219.260 [Cr IV]    1613775881     54  1.4E-03   0.4 3/0 4B
+  5219.27 |    5219.307  S  III    1075871772    263  1.8E-05  -2.3 0/0 4B
+  5219.27 |    5219.320 [Cr III]   1612735499     54  7.2E-04  -3.1 1/0 3A
   5219.39 |    5220.059 [Fe II]    1745909767     56  6.2E-03 -38.6 8/1 5D 5333.646 -31.0
   5219.50 |    5220.840 [Fe IV]    1747993602     54  9.7E-04 -76.9 2/0 8 
   5219.50 |    5221.000  O  II      538069062    262  2.5E-04 -86.1 4/0 9 
   5219.27 |    5221.842 [Mn III]   1679853588     39  2.4E-05-148.0 7/0 * 
   5219.39 | >  5224.299 [Cr II]    1611695107     55  3.2E-04-282.0 */0 0<

Observed Line:  5320.80  1.0E-04  S/N:     1.36 FWHM:  12.3
+  5317.72 |    5317.288  Cr II     1612380547      7  5.2E-07  24.4 6/0 6 
+  5317.84 |    5317.420  C  I       402809873    262  5.4E-05  23.8 4/0 4 
+  5317.84 |    5317.446  Fe I      1745017920      8  5.5E-07  22.4 5/0 6 
+  5317.84 |    5317.514$ Fe I      1745611911      8  5.3E-07  18.5 0/0 4 
+  5317.84 |    5317.525  Fe I      1745200217      8  5.4E-07  17.9 4/0 6 
+  5317.72 |    5317.417  Fe II]    1746126968     23  6.1E-07  17.1 6/0 6 
+  5317.96 |    5317.775  Ne III     673262648    263  7.8E-07  10.4 0/0 4 
+  5317.72 |    5317.561$ Fe II     1746374926      7  5.2E-06   9.0 0/0 3B
+  5317.72 |    5317.715$ Ar I      1208211469      7  6.7E-07   0.3 0/0 4 
+  5317.96 |    5318.260$ O  II      538152053      6  2.5E-04 -17.0 0/0 2A
+  5317.72 |    5318.057$ Fe II     1746359564      7  5.3E-06 -19.0 0/0 3B
+  5317.72 |    5318.124  O  I       537046077      8  1.6E-04 -22.8 1/0 3B
+  5317.72 |    5318.144  Fe II]    1746125944     23  6.1E-07 -23.9 2/0 6 
+  5317.72 |    5318.187$ Fe II     1746357516      7  5.3E-06 -26.4 0/0 3B
+  5317.96 |    5318.439$ Ne II      672448618      7  4.9E-05 -27.0 0/0 3B
+  5317.72 |    5318.284$ Fe II     1746376980      7  5.2E-06 -31.8 0/0 4 
+  5317.84 |    5318.410  C  I       402808849    262  5.4E-05 -32.0 4/0 5 
+  5317.96 |    5318.532$ Ne II      672447594      7  4.9E-05 -32.3 0/0 4 
+  5317.72 |    5318.382  Cr II     1611749398      7  5.6E-05 -37.4 6/0 5 
+  5317.72 |    5318.440  N  I       469953555    262  4.3E-06 -40.6 7/0 7 
+  5317.96 |    5318.750$ Ne II      672448619      7  4.9E-05 -44.6 0/0 4 
+  5317.72 |    5318.539  O  I       537045053      8  1.6E-04 -46.2 2/0 5 
+  5317.72 |    5318.591$ N  II      470999111      7  1.3E-05 -49.1 0/0 4 
+  5317.96 |    5318.835  Ne III     673356933      7  7.8E-07 -49.4 2/0 7 
+  5317.96 |    5318.843$ Ne II      672447595      7  4.9E-05 -49.8 0/0 4 
+  5317.72 |    5318.660  N  I       469952531    262  4.3E-06 -53.0 7/1 6  5334.140 -65.7
+  5317.84 |    5318.800  S  I      1073970259      5  1.4E-06 -54.0 0/0 5 
   5317.96 |    5318.976  Ne III     673356934      7  7.8E-07 -57.3 4/0 8 
   5317.72 |    5318.750$ Fe II     1746336010      7  5.4E-06 -58.1 0/0 5 
   5317.84 |    5319.036  Fe I      1745467515      8  5.3E-07 -67.3 5/0 8 
   5317.72 |    5318.920  Si II      940680278    262  3.4E-06 -67.7 5/0 8 
   5317.96 |    5319.186  Fe III    1747375435    263  3.4E-06 -69.2 4/0 8 
