 EMILI Output File
 ------------------------------------
 Input Line List: zone-III-emi.in
 Input Matched List: zone-III-emi.match
 Results List: zone-III-emi.out
 Short Results List: zone-III-emi.dat
 Abundance Table: abun_smc.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    1.00000005E-03
 ix 2:   0.500000000    
 ix 3:   0.500000000    
 ix 4:    9.99999975E-05
 ix 5:    1.00000001E-10

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       10.00
 Ni                         I     - XXIX        10.00
 Si                         I     - XV          10.00
 Ca                         I     - XXI         10.00
 Mg                         I     - XIII        10.00
 Ti                         I     - XXIII       10.00
 Al                         I     - XIV         10.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    217.264297    
 irvcor 2:    168.675568    
 irvcor 3:    169.886063    
 irvcor 4:    169.375748    
 irvcor 5:    169.375748    

Observed Line:  4610.21  7.5E-05  S/N:     1.54 FWHM:  57.7
   4770.13 |    4771.742  C  I       402704393    263  5.5E-05-101.5 3/0 * 
   4770.13 |    4772.062 [Fe II]    1745905668     40  6.0E-03-121.6 7/0 8 
   4770.12 |    4772.490 [Ni IV]    1882203137     38  1.0E-03-149.2 3/0 8 
   4770.11 |    4773.211* O  I       536956936    264  1.7E-04-195.0 0/0 7D
   4770.13 | >  4774.718 [Fe II]    1745912838     40  5.5E-03-288.4 4/0 0<

Observed Line:  4864.00  1.0E+00  S/N:    26.54 FWHM:  56.8
+  4861.27 |    4861.325  H  I        67129350      7  1.0E+00  -3.6 0/0 1A
   4861.25 | >  4863.590 [Mn IV]    1680873474     38  2.3E-03-144.5 3/0 0<

Observed Line:  4884.35  1.8E-04  S/N:     2.71 FWHM:  13.7
+  4881.60 |    4881.610  C  I       402896911      6  5.4E-05  -0.3 1/0 5A
+  4881.60 |    4881.819 [Mn II]    1678788610     39  1.5E-04 -13.2 2/0 6B
   4881.59 |    4882.355$ Ne II      672483563      7  4.9E-05 -46.7 0/0 6B
   4881.59 |    4882.359$ Ne II      672483564      7  4.9E-05 -47.0 0/0 6B
   4881.59 |    4883.408$ Ne I       671204360    648  3.0E-05-111.9 0/0 8 
   4881.59 |    4883.424  O  I       537062465    264  1.6E-04-112.9 2/0 9 
   4881.59 |    4883.500  Ne II      672278588    263  4.9E-05-117.1 3/0 * 
   4881.59 |    4883.930 [Fe III]   1746935811     54  2.6E-02-144.0 8/0 7 
   4881.59 | >  4884.470  O  II      538182837      6  2.5E-04-176.6 2/0 0<

Observed Line:  4924.66  1.2E-02  S/N:    20.09 FWHM:  59.8
+  4921.87 |    4921.931  He I       134244359    265  8.2E-02  -3.5 0/0 1A
+  4921.87 |    4921.960 [Fe III]   1746954247     38  3.6E-03  -5.3 1/0 4B
   4921.87 |    4922.600  O  I       537136285      5  1.6E-04 -44.3 0/0 8C
   4921.87 | >  4923.927  Fe II     1745957924      8  7.0E-04-125.2 2/0 0<

Observed Line:  4933.97  5.6E-04  S/N:     7.86 FWHM:  46.7
+  4931.19 |    4931.226 [O  III]    538972161     55  2.1E+00  -2.4 2/2 0A 5006.843  -3.6 4958.911  -3.1
   4931.19 | >  4933.826$ O  II      538160236      7  2.5E-04-160.5 0/0 0<

Observed Line:  4961.66  1.5E+00  S/N:    26.94 FWHM:  50.4
+  4958.86 |    4958.911 [O  III]    538972162     39  2.1E+00  -3.1 1/1 0A 5006.843  -3.6
   4958.85 | >  4960.526 [Cr III]   1612761121     55  2.8E-05-101.2 7/0 0<

Observed Line:  4988.70  1.6E-03  S/N:    21.40 FWHM:  57.7
   4985.88 |    4985.416  Cr II]    1611759652     23  1.3E-06  27.7 4/0 8 
   4985.89 |    4985.451  Ne II      672278589    263  4.9E-05  26.1 3/0 6C
   4985.90 |    4985.498 [Cr II]    1611725832     55  1.4E-04  24.0 4/0 6C
   4985.90 |    4985.547  Fe I      1744986152      8  8.2E-07  21.0 8/0 8 
+  4985.90 |    4985.687 [Cr II]    1611699205     39  2.8E-04  12.6 4/0 5A
+  4985.88 |    4986.038  Co II]    1813036061     23  4.2E-07  -9.7 1/0 6C
+  4985.90 |    4986.138 [V  II]    1544596483     55  2.0E-05 -14.5 8/0 6C
+  4985.88 |    4986.137$ Ar II     1209300066      8  2.1E-06 -15.6 0/0 5A
   4985.90 |    4986.300  S  I      1073970238      5  1.4E-06 -24.3 1/0 7 
   4985.90 |    4986.905  Fe I      1745284194      8  6.2E-07 -60.7 */1 9  5041.849 -54.4
   4985.88 |    4986.914  Cr II     1611915393      7  2.1E-06 -62.4 6/1 9  5048.538 -49.1
   4985.88 |    4986.956  Cr II     1611984057      7  1.3E-06 -64.9 5/0 * 
   4985.88 |    4987.150$ Ar II     1209197638      9  2.1E-06 -76.6 0/0 8 
   4985.90 |    4987.235 [Co II]    1813011461     55  1.1E-04 -80.5 2/0 8 
   4985.88 |    4987.279$ Fe II     1746385157      7  5.2E-06 -84.3 0/0 7 
   4985.88 |    4987.300  C  II      403942550    261  3.5E-04 -85.6 0/0 6C
   4985.88 |    4987.377  N  II      470850584    263  1.3E-05 -90.2 2/0 9 
   4985.89 | >  4988.942$ O  II      538158192      7  2.5E-04-183.8 0/0 0<

Observed Line:  5009.61  4.8E+00  S/N:    27.54 FWHM:  54.0
+  5006.79 |    5006.624 [Fe II]    1745904644     40  6.7E-03  10.2 5/0 6B
+  5006.78 |    5006.843 [O  III]    538972163     39  2.1E+00  -3.6 1/1 0A 4958.911  -3.1
   5006.78 | >  5009.720$ O  II      538178739      6  2.5E-04-175.9 0/0 0<

Observed Line:  5018.51  2.4E-02  S/N:    16.23 FWHM:  58.5
   5015.68 |    5015.339  O  II      537967646    263  2.5E-04  20.3 3/0 8 
+  5015.68 |    5015.387  O  II      538169486    263  2.5E-04  17.4 1/0 6C
+  5015.68 |    5015.626$ O  II      538160251      7  2.5E-04   3.1 0/0 4B
+  5015.67 |    5015.678  He I       134235139    264  8.2E-02  -0.5 0/0 1A
   5015.67 |    5016.082  C  II      403833892    263  3.5E-04 -24.7 3/0 7D
   5015.67 |    5016.233  C  II      403833893    263  3.5E-04 -33.7 3/0 9 
   5015.67 | >  5018.440  Fe II     1745956900      8  7.2E-04-165.7 2/0 0<

Observed Line:  5043.77  5.4E-04  S/N:     2.78 FWHM:  47.3
+  5040.94 |    5040.710  C  I       402868239    262  5.4E-05  13.4 2/0 5B
+  5040.92 |    5040.708  C  II      403769372    263  3.5E-04  12.4 2/0 5B
+  5040.92 |    5040.711  N  II      470841366    263  1.3E-05  12.2 4/0 6D
+  5040.92 |    5041.024  Si II      940590092    263  5.7E-06  -6.5 2/0 6D
+  5040.92 |    5041.257$ O  II      538173618      7  2.5E-04 -19.8 0/0 4A
+  5040.92 |    5041.291 [Cr III]   1612760099     39  2.8E-05 -22.3 2/0 7 
   5040.92 |    5041.560 [Ni IV]    1882202113     38  1.1E-03 -37.9 3/0 6D
   5040.92 |    5041.776  C  II      403855486    263  3.5E-04 -51.2 4/0 8 
   5040.92 |    5042.280  N  II      471076955      6  1.3E-05 -81.2 4/0 * 
   5040.94 |    5043.145 [Co II]    1813035032     55  1.6E-05-131.4 1/0 9 
   5040.92 |    5043.200$ N  II      470996030      6  1.3E-05-135.9 0/0 8 
   5040.92 |    5043.277$ Ne II      672432199      7  4.9E-05-140.0 0/0 8 
   5040.92 |    5043.341$ Ne II      672431175      7  4.9E-05-143.8 0/0 8 
   5040.94 |    5043.520 [Fe II]    1745913865     40  5.4E-03-153.7 9/0 8 
   5040.92 |    5043.565  C  II      403854460    263  3.5E-04-157.6 7/0 9 
   5040.92 | >  5044.974  C  II      403854461    263  3.5E-04-241.3 7/0 0<

Observed Line:  5050.57  1.9E-03  S/N:    19.54 FWHM:  50.5
+  5047.71 |    5047.738  He I       134237191    264  8.2E-02  -1.6 0/0 1A
+  5047.71 |    5047.747* O  I       536970252    262  1.7E-04  -2.1 0/0 4B
+  5047.71 |    5047.831  C  II      403853436    263  3.5E-04  -7.1 7/0 6C
   5047.73 |    5048.193 [Fe II]    1745942547     40  1.2E-03 -27.4 2/0 7D
   5047.73 |    5049.003 [Cr II]    1611726858     55  1.4E-04 -75.6 3/0 * 
   5047.72 |    5049.000  C  III     404847681    261  3.5E-04 -76.0 0/0 8 
   5047.71 |    5049.242  C  II      403853437    263  3.5E-04 -90.9 7/0 * 
   5047.73 | >  5049.287 [Fe II]    1745911816     56  5.6E-03 -92.4 6/0 0<

Observed Line:  5058.37  2.1E-04  S/N:     2.75 FWHM:  53.1
+  5055.52 |    5055.078  Ar III    1210129464    263  2.1E-06  26.0 4/0 7 
+  5055.51 |    5055.319  Fe II     1746132089      8  2.2E-05  11.2 5/0 5B
