Index,Type,ID,flux,wave,dwave_nn,dwave_mean,wn,dwn_nn,dwn_mean,mutual
3034,Deep Neutral?,UIL,0.1064139683087893,8391.9295,13.429299999999785,33.32350000000042,11916.210687899604,19.03861238987156,47.54396400391852,True
2991,Deep Neutral,UIL+,0.6535165752519675,8338.7118,4.964199999998527,29.090949999999793,11992.26000351757,7.143482136347302,41.59639887715639,True
2987,Deep Neutral?,UIL,0.093533986127805,8333.7476,4.964199999998527,14.415099999999256,11999.403485653917,7.143482136347302,20.802898945840752,True
2967,Deep Neutral?,UIL+,0.1819179118636636,8309.8816,5.979900000000271,14.922950000000128,12033.86580140925,8.665964110081404,21.564139932707803,True
2963,Deep Neutral,UIL+,0.2851278275908968,8303.9017,5.979900000000271,9.050050000000738,12042.531765519332,8.665964110081404,13.134341178195427,True
2954,Deep Neutral,UIL,0.1047017906325174,8291.7815,3.726199999999153,7.923200000000179,12060.134483765642,5.422076890990866,11.512397568650158,True
2951,Deep Neutral,UIL+,0.1654473810116713,8288.0553,3.726199999999153,7.277699999999641,12065.556560656632,5.422076890990866,10.603798865962744,True
2942,Deep Neutral,UIL,0.2241580694798609,8277.2261,6.0385000000005675,8.433850000000348,12081.342081497567,8.820158323953365,12.302839582443994,True
2937,Deep Neutral,UIL,0.2245175108430511,8271.1876,6.0385000000005675,32.89249999999993,12090.16223982152,8.820158323953365,48.394129553660605,True
2889,Deep Neutral?,UIL,0.0382148008445557,8211.4411,15.172200000000885,37.459350000000086,12178.130340604888,22.543065803238278,55.25558329330306,True
2877,Deep Neutral,UIL,0.0863393614226581,8196.2689,15.172200000000885,28.05639999999994,12200.673406408127,22.543065803238278,41.89586041412258,True
2844,Deep Neutral,UIL,0.2902005887649528,8155.3283,40.940599999998994,54.37034999999969,12261.922061433133,61.24865502500688,82.02195614503125,False
2790,Deep Neutral,UIL,0.0795293003265157,8087.5282,14.076900000000023,40.938500000000204,12364.717318698189,21.559167542582145,62.177212403818885,True
2779,Deep Neutral?,UIL,0.0282547966193805,8073.4513,14.076900000000023,22.366099999999733,12386.276486240771,21.559167542582145,34.38487113458177,True
2754,Deep Neutral,UIL,0.0862292100371643,8042.796,22.6233000000002,26.63929999999982,12433.487060967353,35.07237541485483,41.141475070718116,False
2736,Medium Neb??,UIL,0.0995053507098367,8020.1727,6.9371000000001,14.78020000000015,12468.559436382207,10.79409716421469,22.93323628953476,True
2731,Deep Neutral,UIL+,0.1639168564974418,8013.2356,6.9371000000001,28.138600000000224,12479.353533546422,10.79409716421469,44.054797875813165,True
2692,Deep Neutral,UIL+,0.1999576168388307,7963.8955,32.89339999999993,41.11675000000014,12556.669032133834,52.07810210283424,64.69680034512294,False
2665,Deep Neutral?,UIL,0.0804452960585167,7931.0021,10.580699999999524,21.737049999999726,12608.747134236668,16.843721320585246,34.46091171170974,True
2657,Deep Neutral?,UIL+,0.0627978846141433,7920.4214,10.580699999999524,18.06770000000006,12625.590855557253,16.843721320585246,28.855593039619635,True
2636,Deep Neutral,UIL,0.1335498587492066,7894.8667,25.554700000000594,26.740900000000238,12666.458320315907,40.86746475865402,42.91626473265114,False
2614,Deep Neutral?,UIL+,0.0684426600005882,7866.9396,14.859099999999671,21.393099999999777,12711.423385022556,24.054810851772345,34.509937779210304,False
2602,Deep Neutral,UIL+,0.2078170148178349,7852.0805,10.022299999999632,12.440699999999651,12735.478195874328,16.276184117390585,20.165497484581465,True
2594,Deep Neutral,UIL,0.2575455341671626,7842.0582,10.022299999999632,21.570400000000063,12751.754379991718,16.276184117390585,35.17882957609254,True
2565,Deep Neutral,UIL,0.0778866919463452,7808.9397,14.282500000000255,23.700500000000375,12805.835855026513,23.464707415154407,38.77309122497445,False
2556,Deep Neutral,UIL+,0.1161111551931373,7794.6572,8.26049999999941,11.271499999999833,12829.300562441667,13.610459546202037,18.537583480678222,True
2549,Deep Neutral,UIL,0.1165594906569015,7786.3967,8.26049999999941,10.795599999999922,12842.91102198787,13.610459546202037,17.81793659694813,True
2538,Deep Neutral,UIL,0.1496242311095108,7773.066,13.330700000000434,21.127050000000054,12864.936435635564,22.025413647694222,35.03716774366876,False
2516,Deep Neutral?,UIL,0.0986859790001987,7744.1426,15.204899999999725,22.0641499999997,12912.985357475207,25.40331655951377,36.726119199578534,False
