Index,ID,wave,flux,s_n,d_vel,type,species,sigma_d_vel,fcat
1801,UIL,6851.4393,0.0476575514537855,16.891326676180118,-0.8838711885517962,Unidentified,UIL,18.628480800496863,0.0
1913,UIL,6991.2298,0.0711751873530131,35.177650429800345,3.3190431164449397,Unidentified,UIL,18.628480800496863,0.0
1925,O I 7001.92,7006.4834,0.0389433459731726,8.417710944026812,25.65351940403673,Neutral,O I,16.914446316658967,0.0
1931,UIL,7014.0302,0.0645607775200592,17.751457806929164,24.01855614719308,Unidentified,UIL,18.628480800496863,0.0
1936,UIL,7019.6054,0.0178020098801541,9.23046092184386,5.979222309450824,Unidentified,UIL,18.628480800496863,0.0
1944,UIL,7029.5474,0.0378534270009182,7.270972531551695,-85.2962664088503,Unidentified,UIL,37.256961600993726,0.0
1954,UIL,7041.8422,0.0484891021735691,26.082785047259254,-36.90626060295897,Unidentified,UIL,18.628480800496863,0.0
1958,UIL,7047.5264,0.0459679123989607,28.65903614457919,19.964731169742404,Unidentified,UIL,18.628480800496863,0.0
1969,UIL,7060.5535,0.1011005331396081,7.32518321332567,-26.39942254150922,Unidentified,UIL,14.804332475268021,0.1
1975,He I 7065.28,7069.1146,2.509696897012281,85.89800912758797,3.8125969448349766,Medium,He I,2.4071670719722795,1.0
1987,UIL,7083.4766,0.0252522936070604,9.414478232756382,43.19662544592246,Unidentified,UIL,37.256961600993726,0.0
1997,UIL,7096.339,0.1193815977303661,22.620415520977765,-1.4659315775107948,Unidentified,UIL,7.4021662376340105,0.1
2008,UIL,7109.4219,0.0985313024403664,23.48547193605463,1.4927663608384398,Unidentified,UIL,18.628480800496863,0.0
2012,UIL,7115.5955,0.0717874380354878,11.65604680028099,19.200666037613203,Unidentified,UIL,18.628480800496863,0.0
2032,[Ar III] 7135.78,7139.6575,8.815490747805388,282.60122661380325,1.9609343115120565,Medium,[Ar III],1.2035835359861398,1.0
2039,UIL,7148.0009,0.0786132388990029,7.0149967243603735,14.096946059072696,Unidentified,UIL,18.628480800496863,0.0
2047,[Fe II] 7155.14,7158.9886,0.0118206985727084,6.080370647496968,4.635785882083699,Fe,[Fe II],16.914446316658967,0.0
2052,He I 7160.13,7165.4304,0.0190007475007053,6.743697084318338,-135.2830104069779,Medium,He I,15.105610963246022,0.0
2060,[Ar IV] 7170.5,7174.1279,0.042483665248854,10.29695916247238,-0.5348854479888757,High,[Ar IV],,0.0
2066,UIL,7182.5846,0.0900439264400544,21.69227188081944,12.931237814570768,Unidentified,UIL,18.628480800496863,0.0
2071,UIL,7188.7929,0.0754150494543003,30.58385579937387,7.6526506006889665,Unidentified,UIL,18.628480800496863,0.0
2079,UIL,7198.1896,0.0326448913737464,28.39116107548005,-2.315628351334632,Unidentified,UIL,18.628480800496863,0.0
2082,UIL,7203.0002,0.0284684931398557,37.20096329746045,15.995610929299488,Unidentified,UIL,18.628480800496863,0.0
2101,UIL,7226.2149,0.040458410643824,5.159191720059194,-43.986137135704496,Unidentified,UIL,37.256961600993726,0.0
2114,UIL+,7241.9484,0.0845646063822972,5.9634257444373375,5.1415530473192375,Unidentified,UIL,18.628480800496863,0.0
2127,O I 7254.15+,7258.1056,0.0635129490345919,7.965589952139532,-9.590599206847681,Neutral,O I,16.914446316658967,0.0
2134,[Ar IV] 7262.7+,7267.5972,0.0514964817946699,10.819271995730526,-5.812091293166706,High,[Ar IV],,0.0
2148,He I 7281.35,7285.2357,0.8656082368191402,63.07040270346416,5.312647906597864,Medium,He I,5.118128545095516,0.1
2154,UIL,7294.6905,0.1193554952414043,4.829372706364935,57.06631345144114,Unidentified,UIL,14.804332475268021,0.1
2168,UIL,7309.7648,0.0964412388599238,6.350097351167303,-51.40047947943737,Unidentified,UIL,37.256961600993726,0.0
2179,[O II] 7319.99+,7323.9578,3.464495730117566,156.36907348760542,6.713182327979799,Low,[O II],3.5714777002278817,1.0
2187,[O II] 7330.73+,7334.309,2.0849661372410697,26.84648945331069,7.987256468642005,Low,[O II],7.142955400455763,1.0
2199,UIL,,-0.0013681961566596,-0.7580299785866845,,Unidentified,UIL,,0.0
2225,[Ni II] 7377.83,7381.3211,0.0198620340369327,17.420338983052066,-18.762961972678443,Fe,[Ni II],16.914446316658967,0.0
2252,[Ni II] 7411.61 ,,-0.0049510149058787,-3.563282336578688,,Fe,[Ni II],,0.0
2263,UIL,7429.3572,0.0222318627414787,10.073830520139806,63.06390180991404,Unidentified,UIL,37.256961600993726,0.0
2277,N I 7442.30,7446.8551,0.01363751451631,24.58885017421889,20.242884275360158,Neutral,N I,16.914446316658967,0.0
2285,[Fe II] 7452.54?,7456.8306,0.0036972311150916,2.4434290269066947,14.09207228074539,Fe,[Fe II],16.914446316658967,0.0
2294,UIL,7467.0071,0.108794784219813,42.68233510235071,12.900411150993268,Unidentified,UIL,7.4021662376340105,0.1
2298,N I 7468.31+,7472.9264,0.078395096669822,19.30846454992868,22.884565195147996,Neutral,N I,16.914446316658967,0.0
2314,UIL,7492.6007,0.077795865365324,36.04028648164751,-1.764510096330921,Unidentified,UIL,18.628480800496863,0.0
2323,He I 7499.85,7503.9271,0.0555013493868115,29.24670508832576,-4.298709930123651,Medium,He I,7.552805481623011,0.0
2334,Fe II 7513.1762,7517.4727,0.0366628102103689,10.16714465927352,0.96508509284116,Fe,Fe II,16.914446316658967,0.0
2345,UIL+,7530.5524,0.0874292803949124,316.37762237762524,-7.770740822814727,Unidentified,UIL,18.628480800496863,0.0
2348,[Cl IV] 7530.8,7534.6567,0.0318685350557557,39.92978208232724,,High,[Cl IV],,0.0
2426,UIL,7633.0809,0.3048155437786097,70.41642669724797,-2.466476081448494,Unidentified,UIL,7.4021662376340105,0.1
2434,UIL,7641.9567,0.2700177629737751,10.686500956022954,-1.3220385404548585,Unidentified,UIL,7.4021662376340105,0.1
2454,UIL,7667.4675,0.187156866356184,10.047515302417272,-7.295748077994228,Unidentified,UIL,7.4021662376340105,0.1
2489,UIL+,7711.8689,0.2024509043878507,12.591610656282962,1.6793733013987777,Unidentified,UIL,7.4021662376340105,0.1
2490,UIL+,7711.8082,0.2093494193277594,14.306916645633024,,Unidentified,UIL,7.4021662376340105,0.1
2501,UIL+,7725.784,0.0452896828122493,26.2148062263571,5.223129184016929,Unidentified,UIL,18.628480800496863,0.0
2503,UIL,7728.9377,0.0197113005620464,120.00000000003897,24.376558092382915,Unidentified,UIL,18.628480800496863,0.0
2516,UIL,7744.1426,0.126787246741533,5.683346627137687,-1.447827649828442,Unidentified,UIL,7.4021662376340105,0.1
2524,[Ar III] 7751.10,7755.337,2.116087347034027,29.442111206711157,2.5977243470915043,Medium,[Ar III],2.4071670719722795,1.0
2538,UIL,7773.066,0.1496242311095108,14.295790251107864,-0.3046877527248656,Unidentified,UIL,7.4021662376340105,0.1
2549,UIL,7786.3967,0.1244697186144232,9.196074096473655,-1.2128105704506809,Unidentified,UIL,7.4021662376340105,0.1
2556,UIL+,7794.4213,0.2714091488958019,15.6363838788689,-10.830631681019671,Unidentified,UIL,7.4021662376340105,0.1
2565,UIL,7807.5405,0.0786281546069811,4.84204265511151,32.3958930144765,Unidentified,UIL,18.628480800496863,0.0
2577,He I 7816.13+,7821.7554,0.2143333388859938,16.86859315589359,22.960246945329974,Medium,He I,5.118128545095516,0.1
2594,UIL,7842.0582,0.2611852334789329,43.37465788362185,2.1255362329232623,Unidentified,UIL,7.4021662376340105,0.1
2602,UIL+,7853.0254,0.2545212022672015,19.019061371841225,4.95906768330799,Unidentified,UIL,7.4021662376340105,0.1
2614,UIL+,7866.9604,0.041327697880545,37.5849380858154,2.2369438383190903,Unidentified,UIL,18.628480800496863,0.0
2623,[P II] 7875.99+,7878.1771,0.0225674661709878,2.0277789627648173,-104.28746511948825,Low,[P II],33.828892633317935,0.0
2636,UIL,7894.8667,0.1335498587492066,21.821281970318925,19.99796137267642,Unidentified,UIL,14.804332475268021,0.1
2657,UIL+,7920.9799,0.1287573072400032,22.7089297886846,-29.495751248719774,Unidentified,UIL,14.804332475268021,0.1
2665,UIL,7931.0021,0.0804452960585167,27.71504660452735,-6.157505411661333,Unidentified,UIL,18.628480800496863,0.0
2692,UIL,7964.3291,0.3867568500202443,22.411526952144182,0.26349351263457954,Unidentified,UIL,7.4021662376340105,0.1
2724,[Fe II] 7997.03+,8000.8545,0.0324975987574618,4.953319994061955,-131.09159135023677,Fe,[Fe II],33.828892633317935,0.0
2731,UIL,8013.6609,0.1862466680655248,31.06931012250182,-15.77878136750731,Unidentified,UIL,14.804332475268021,0.1
2736,UIL,8020.173,0.1120020512081611,12.676654277775594,14.276025183501545,Unidentified,UIL,7.4021662376340105,0.1
2754,UIL,8042.796,0.0874489314125779,9.494789929800756,70.15240567328823,Unidentified,UIL,37.256961600993726,0.0
2760,[Cl IV] 8045.62+,8050.8247,0.2514769720486344,10.53101102402173,-8.538311955104259,High,[Cl IV],,0.1
2779,UIL,8073.4513,0.0282547966193805,21.098124098124146,-20.79310645504298,Unidentified,UIL,18.628480800496863,0.0
2790,UIL,8087.5282,0.0795293003265157,45.12500000000064,-12.11349304288298,Unidentified,UIL,18.628480800496863,0.0
2825,Ca I] 8125.31,8131.746,0.0221237238586369,6.135238940548168,75.30485562723867,Fe,Ca I],33.828892633317935,0.0
2844,UIL,8155.3283,0.2902005887649528,43.28913231478851,-9.575756848983849,Unidentified,UIL,7.4021662376340105,0.1
2874,N I 8188.012,8192.0088,0.0203451541487475,3.4722955145119068,-12.189538593323284,Neutral,N I,16.914446316658967,0.0
2877,UIL,8196.2689,0.091142433600675,46.14818407721669,28.891060600471196,Unidentified,UIL,18.628480800496863,0.0
2884,N I 8200.357        ,8204.8378,0.0191461756534925,8.35376476029774,5.656266366163044,Neutral,N I,16.914446316658967,0.0
2889,UIL,8211.6119,0.021771324718825,3.800944669365735,,Unidentified,UIL,18.628480800496863,0.0
2897,N I 8216.34+,8221.8977,0.075611452668394,9.599272007953925,42.160437288753286,Neutral,N I,33.828892633317935,0.0
2902,N I 8223.14,8228.4166,0.0259496029550404,3.5078715303761143,29.78030005953062,Neutral,N I,16.914446316658967,0.0
2907,UIL,8233.7619,0.0211548634561492,4.042466765140318,-9.604688314318532,Unidentified,UIL,18.628480800496863,0.0
2913,He II 8236.78,,-0.0014532252963391,-0.2423461166612933,,High,He II,,0.0
2918,N I 8242.39,8247.568,0.042360610658034,7.5483232763793024,22.48366323482434,Neutral,N I,16.914446316658967,0.0
2937,UIL,8271.1876,0.2333860827345981,20.249868692388407,-22.854603358536565,Unidentified,UIL,14.804332475268021,0.1
