Index,Type,ID,flux,wave,wn,dwn,mutual
2884,Neutral,N I 8200.357        ,0.0495327884381798,8204.9125,12187.820406372399,18.664293507004913,True
2874,Neutral,N I 8188.012,0.0837243373408077,8192.3668,12206.484699879404,18.664293507004913,True
2825,Neutral,Ca I] 8125.31,0.1315075804950169,8129.7039,12300.570996195811,94.08629631640724,False
2760,High Neb,[Cl IV] 8045.62+,0.2676648234884101,8050.1546,12422.121681986082,71.07795712036022,True
2724,"Fe, Ni",[Fe II] 7997.03+,0.2737902560078432,8004.3546,12493.199639106442,71.07795712036022,True
2623,Low Neb??,[P II] 7875.99+,0.0068848710833488,7878.7695,12692.337299625275,92.43585145105862,True
2577,Med Neb,He I 7816.13+,0.1541675390860208,7821.8048,12784.773151076333,92.43585145105862,True
2524,Med Neb,[Ar III] 7751.10,2.4145036377391444,7755.4483,12894.161127990496,109.38797691416221,False
2348,High Neb,[Cl IV] 7530.8,0.1363859964557971,7534.5315,13272.225353361384,30.16042287638811,False
2334,"Fe, Ni",Fe II 7513.1762,0.1850613538712466,7517.4485,13302.385776237772,23.649509451233826,True
2323,Med Neb,He I 7499.85,0.0515672458739773,7504.1074,13326.035285689006,23.649509451233826,True
2298,Neutral,N I 7468.31+,0.2093904140964984,7473.189,13381.16833389333,29.985274630345884,False
2285,"Fe, Ni?",[Fe II] 7452.54?,0.0489760047494561,7456.4801,13411.153608523677,17.454806272069618,True
2277,Neutral,N I 7442.30,0.0830798143105278,7446.788,13428.608414795746,17.454806272069618,True
2252,"Fe, Ni",[Ni II] 7411.61 ,0.1551180213942263,7415.5989,13485.087495765174,56.47908096942774,False
2225,"Fe, Ni",[Ni II] 7377.83,0.3785464479689976,7381.7831,13546.862410519754,61.774914754580095,False
2187,Low Neb,[O II] 7330.73+,2.7480241285475646,7334.3707,13634.434921594566,19.276748443062388,True
2179,Low Neb,[O II] 7319.99+,4.517104430938709,7324.0158,13653.711670037628,19.276748443062388,True
2148,Med Neb,He I 7281.35,0.934273669046596,7285.4083,13726.066663964459,34.269154279116265,False
2134,High Neb,[Ar IV] 7262.7+,0.0743273573400108,7267.2645,13760.335818243575,15.727684559997215,True
2127,Neutral,O I 7254.15+,0.0901218251969196,7258.9677,13776.063502803572,15.727684559997215,True
2060,High Neb,[Ar IV] 7170.5,0.0708428819728275,7174.355,13938.535241147112,18.502178354103307,False
2052,Med Neb,He I 7160.13,0.0214956454635473,7164.8443,13957.037419501215,11.632167669698902,True
2047,"Fe, Ni",[Fe II] 7155.14,0.2768534342720266,7158.8779,13968.669587170914,11.632167669698902,True
2032,Med Neb,[Ar III] 7135.78,11.63862846810188,7139.771,14006.051454591467,37.381867420552226,False
1975,Med Neb,He I 7065.28,2.513932914052833,7069.2193,14145.83361418707,126.01129264675183,True
1925,Neutral,O I 7001.92,0.0553414527851471,7006.8026,14271.844906833821,126.01129264675183,True
1759,High Neb,[K IV] 6795.1,0.02202259272728,6798.4896,14709.149514621597,139.43405894573152,False
1708,Low Neb,[S II] 6730.816,17.27648932816945,6734.6491,14848.583573567328,31.785328634197867,True
1696,Low Neb,[S II] 6716.44,23.100524652044005,6720.2635,14880.368902201526,31.785328634197867,True
1665,Med Neb,He I 6678.15,3.293983285917068,6681.8914,14965.822401722957,24.747405575515586,True
1657,"Fe, Ni",[Ni II]  6666.80,0.1955823172850075,6670.8605,14990.569807298472,24.747405575515586,True
1590,Low Neb,[N II] 6583.45,13.462694957473122,6587.1734,15181.018310524507,47.84446577179733,False
1573,Med Neb,H I 6562.79,362.3130091534829,6566.4785,15228.862776296304,34.13027008248173,True
1561,Low Neb,[N II] 6548.05,3.673463924677365,6551.7949,15262.993046378786,34.13027008248173,True
1420,Med Perm,Si II 6371.36 ,0.8583107940273973,6374.6798,15687.062430963198,17.76200158498068,True
1414,Low Neb,[O I] 6363.78 ,0.9331243264607904,6367.4701,15704.82443254818,17.76200158498068,True
1401,Med Perm,Si II 6347.11,0.7170263712535508,6350.4016,15747.035589056286,42.2111565081068,False
1372,Med Neb,[S III] 6312.06,1.8478359032749556,6315.5784,15833.862501018115,29.12167116594719,True
1363,Low Neb,[O I] 6300.30,2.6584622928117634,6303.9841,15862.984172184062,29.12167116594719,True
1204,High Neb,[K IV] 6101.79,0.1026370593702136,6104.9698,16380.097408508063,150.09516178860213,True
1160,Neutral,O I 6046.23,0.0417985120748206,6049.5363,16530.192570296666,150.09516178860213,True
1106,Med Perm,Si II 5978.93,0.7038106779045531,5982.0824,16716.586852765515,58.94772103248397,True
1089,Med Perm,Si II 5957.56,0.5489506128375132,5961.0619,16775.534573798,58.94772103248397,True
1023,Med Neb,He I 5875.62,13.22184903668086,5878.9795,17009.754839253983,26.263204137878347,True
1018,"Fe, Ni",Ni II 5867.99,0.0826467424089338,5869.9163,17036.01804339186,26.263204137878347,True
926,Low Neb,[N II] 5755.08,0.2578267197409611,5757.9336,17367.341644926226,45.742079513667704,True
914,High Perm,Si III 5739.73,0.0652110488507728,5742.8082,17413.083724439894,45.742079513667704,True
737,Med Neb,[Cl III] 5517.71,0.4174176997457808,5520.7871,18113.359234591746,476.85692798013406,False
