,#H2 line,Vhi,Jhi,Vlo,Jlo,wl(mic),wl(lab),log L or I,I/Inorm,"Excit(hi, K)",g_u h nu * Aul,wav_air
1197,8-4 S(9),8,11,4,9,0.8493402, 8493A,29.914,0.0002475,44640.99,1.085e-16,8493.401999999998
709,3-0 Q(1),3,1,0,1,0.8497445, 8497A,29.848,0.0002125,17097.72,5.478e-19,8497.444999999998
808,4-1 S(2),4,4,1,2,0.8549894, 8550A,30.403,0.0007631,23294.749,3.504e-18,8549.893999999998
1030,4-1 S(13),4,15,1,13,0.8559842, 8560A,29.729,0.0001616,35782.829,5.524e-17,8559.841999999999
737,3-0 Q(4),3,4,0,4,0.8610899, 8611A,29.544,0.0001055,18385.814,3.576e-19,8610.898999999998
796,4-1 S(1),4,3,1,1,0.865974, 8660A,29.75,0.0001697,22758.962,5.904e-18,8659.739999999998
1096,8-4 Q(2),8,2,4,2,0.8685229, 8685A,29.808,0.0001939,38913.651,1.414e-18,8685.228999999998
706,3-0 O(2),3,0,0,2,0.8748027, 8748A,30.252,0.0005386,16952.188,7.631000000000001e-20,8748.026999999998
784,4-1 S(0),4,2,1,0,0.8789136, 8789A,30.401,0.0007597,22352.407,8.401e-19,8789.135999999999
961,5-2 S(7),5,9,2,7,0.8850629, 8851A,30.13,0.0004068,32014.528,7.926e-17,8850.628999999999
1085,8-4 O(2),8,0,4,2,0.8850684, 8851A,29.797,0.0001887,38604.055,4.838e-19,8850.683999999997
982,5-2 S(8),5,10,2,8,0.8859603, 8860A,30.241,0.0005253,33115.193,2.943e-17,8859.603
930,5-2 S(6),5,8,2,6,0.8862075, 8862A,29.963,0.0002766,30994.335,2.267e-17,8862.074999999999
991,5-2 S(9),5,11,2,9,0.8888914, 8889A,29.968,0.0002801,34288.472,9.436e-17,8888.913999999999
908,5-2 S(5),5,7,2,5,0.889373, 8894A,30.252,0.0005391,30063.158,5.554e-17,8893.729999999998
1021,5-2 S(10),5,12,2,10,0.8938611, 8939A,29.984,0.0002907,35525.95,3.23e-17,8938.610999999997
903,5-2 S(4),5,6,2,4,0.8946162, 8946A,29.688,0.0001471,29228.423,1.427e-17,8946.161999999998
1054,5-2 S(11),5,13,2,11,0.9009265, 9009A,30.044,0.0003338,36818.619,9.571e-17,9009.264999999998
890,5-2 S(3),5,5,2,3,0.901927, 9019A,30.43,0.0008122,28497.898,3.08e-17,9019.269999999999
778,4-1 Q(1),4,1,1,1,0.9029265, 9029A,29.958,0.000274,22079.198,1.856e-18,9029.264999999998
1193,9-5 S(5),9,7,5,5,0.9049656, 9050A,29.54,0.0001045,44392.226,7.644e-17,9049.655999999999
785,4-1 Q(2),4,2,1,2,0.9057225, 9057A,30.344,0.0006663,22352.407,7.367e-19,9057.224999999999
1076,5-2 S(12),5,14,2,12,0.9101472, 9101A,30.219,0.0004995,38158.336,3.028e-17,9101.471999999998
882,5-2 S(2),5,4,2,2,0.9113519, 9114A,30.041,0.000331,27877.728,6.746e-18,9113.518999999998
809,4-1 Q(4),4,4,1,4,0.9155584, 9156A,29.94,0.0002628,23294.749,1.206e-18,9155.583999999999
1238,11-6 S(8),11,10,6,8,0.9180444, 9180A,29.614,0.0001238,50707.723,2.453e-17,9180.443999999998
1114,5-2 S(13),5,15,2,13,0.921615, 9216A,30.059,0.0003454,39537.073,8.265e-17,9216.149999999998
873,5-2 S(1),5,3,2,1,0.9229202, 9229A,29.649,0.0001342,27374.185,1.161e-17,9229.201999999997
1240,13-7 O(2),13,0,7,2,0.9231222, 9231A,29.524,0.0001007,50862.722,3.049e-19,9231.221999999998
1169,9-5 S(0),9,2,5,0,0.9232911, 9233A,29.947,0.0002671,42184.61,2.374e-18,9232.910999999998
1224,9-5 S(8),9,10,5,8,0.9264113, 9264A,30.035,0.0003264,46520.724,3.715e-17,9264.113
775,4-1 O(2),4,0,1,2,0.9297534, 9298A,30.295,0.0005941,21941.939,2.755e-19,9297.533999999998
