Index,Type,ID,zone-0,zone-I,zone-II,zone-III,zone-IV,zone-MYSO,zone-S
449,"Fe, Ni",[Fe II] 5158.81,5163.8974,5158.2684,5159.8921,5160.6865,5161.6939,5161.3635,5158.0245
475,Med Neb,[Ar  III] 5191.82,5194.0768,5193.5067,5194.2942,5194.535,5194.2648,5191.4103,5193.3806
482,Neutral,[N I]  5199.00+,5202.0806,5201.9484,5202.3528,5201.0472,5201.7035,5201.3812,5203.5365
498,Med Perm,Si II 5219.31 ,5222.9761,5223.3389,5223.0215,5223.9958,5223.0035,5223.0739,5223.8801
531,"Fe, Ni",[Fe II] 5261.61,5260.258,5265.2167,5263.1566,5263.0178,5263.7536,5264.1285,5265.6621
539,"Fe, Ni",[Fe III] 5270.40+,5273.5118,5274.3708,5273.3712,5273.3981,5274.7513,5273.8657,5272.9939
576,Stellar,None,5316.6889,5319.6013,5313.4537,5319.4548,5320.6939,5319.9759,5319.333
589,"Fe, Ni",[Fe II] 5333.646,5336.2118,5336.0894,5335.7315,5336.3076,5336.4219,5336.3728,5336.153
623,"Fe, Ni",[Fe II] 5376.452,5378.8406,5378.6661,5380.6284,5378.1506,5376.7362,5379.2516,5378.662
652,High Neb,He II 5411.52+,5414.2207,5414.4277,5414.0808,5414.5275,5414.6338,5413.3666,5414.4995
669,Stellar,O II 5433.49,5436.7309,5436.005,5436.809,5435.8597,5434.7501,5435.6198,5436.7207
737,Med Neb,[Cl III] 5517.71,5520.6848,5520.518,5520.8025,5520.778,5520.6942,5520.689,5520.7611
753,Med Neb,[Cl III]] 5537.88,5540.8532,5540.632,5540.9338,5540.9225,5540.8386,5540.6977,5540.9601
785,Low Neb,[O I] 5577.34,5582.185,5582.3479,5579.2989,5582.1746,5582.4844,5580.5851,5582.4486
809,Deep Neutral??,UIL,5611.8401,5612.6646,5612.092,5610.7853,5612.3349,5611.2288,5613.0268
914,High Perm,Si III 5739.73,5742.9252,5742.6961,5742.8855,5743.0341,5742.7878,5739.4553,5744.9166
920,Stellar?,None,5749.7218,5750.5044,5750.0343,5751.0991,5750.7788,5749.7201,5749.886
926,Low Neb,[N II] 5755.08,5757.9102,5759.2983,5757.9035,5758.2621,5758.5866,5757.7675,5758.3923
965,Stellar,None,5808.182,5801.5402,5803.504,5805.7348,5805.5604,5808.3436,5805.2848
1018,"Fe, Ni",Ni II 5867.99,5870.3737,5872.2242,5870.4086,5870.2029,5870.755,5870.1629,5870.8887
1023,Med Neb,He I 5875.62,5878.8806,5878.1183,5878.8935,5878.9576,5878.9761,5878.7953,5878.9821
1089,Med Perm,Si II 5957.56,5961.7491,5961.8509,5961.249,5959.2995,5961.558,5961.1735,5963.5035
1106,Med Perm,Si II 5978.93,5983.115,5982.1187,5982.5364,5982.3369,5981.9086,5982.3052,5983.1299
1146,Deep Neutral?,UIL,6033.0113,6033.0239,6031.3455,6030.476,6032.5741,6032.834,6033.235
1152,None,None,6040.8892,6039.6151,6039.4254,6044.1361,6040.1372,6040.5384,6043.348
1153,Deep Neutral?,UIL,6040.9606,6041.7513,6040.8108,6041.7071,6040.884,6040.5479,6040.7741
1160,Neutral,O I 6046.23,6049.8741,6049.8089,6049.6021,6049.82,6048.9969,6049.6886,6049.6847
